DATE,DFF
2003-12-07,0.980
2003-12-08,0.990
2003-12-09,0.970
2003-12-10,0.990
2003-12-11,0.990
2003-12-12,0.990
2003-12-13,0.990
2003-12-14,0.990
2003-12-15,1.040
2003-12-16,0.990
2003-12-17,0.990
2003-12-18,1.010
2003-12-19,0.980
2003-12-20,0.980
2003-12-21,0.980
2003-12-22,1.020
2003-12-23,1.000
2003-12-24,0.970
2003-12-25,0.970
2003-12-26,0.970
2003-12-27,0.970
2003-12-28,0.970
2003-12-29,0.980
2003-12-30,0.930
2003-12-31,0.940
2004-01-01,0.940
2004-01-02,1.010
2004-01-03,1.010
2004-01-04,1.010
2004-01-05,0.970
2004-01-06,0.920
2004-01-07,0.940
2004-01-08,0.990
2004-01-09,0.990
2004-01-10,0.990
2004-01-11,0.990
2004-01-12,1.000
2004-01-13,0.990
2004-01-14,1.010
2004-01-15,1.040
2004-01-16,0.980
2004-01-17,0.980
2004-01-18,0.980
2004-01-19,0.980
2004-01-20,1.020
2004-01-21,1.000
2004-01-22,1.020
2004-01-23,1.000
2004-01-24,1.000
2004-01-25,1.000
2004-01-26,1.080
2004-01-27,1.020
2004-01-28,0.990
2004-01-29,1.000
2004-01-30,1.030
2004-01-31,1.030
2004-02-01,1.030
2004-02-02,1.010
2004-02-03,0.970
2004-02-04,1.000
2004-02-05,1.010
2004-02-06,0.990
2004-02-07,0.990
2004-02-08,0.990
2004-02-09,1.010
2004-02-10,1.000
2004-02-11,1.000
2004-02-12,1.020
2004-02-13,1.010
2004-02-14,1.010
2004-02-15,1.010
2004-02-16,1.010
2004-02-17,1.020
2004-02-18,1.000
2004-02-19,1.000
2004-02-20,0.990
2004-02-21,0.990
2004-02-22,0.990
2004-02-23,1.000
2004-02-24,0.990
2004-02-25,1.020
2004-02-26,1.030
2004-02-27,1.040
2004-02-28,1.040
2004-02-29,1.040
2004-03-01,1.040
2004-03-02,1.000
2004-03-03,1.000
2004-03-04,0.990
2004-03-05,1.000
2004-03-06,1.000
2004-03-07,1.000
2004-03-08,1.000
2004-03-09,0.990
2004-03-10,1.000
2004-03-11,1.010
2004-03-12,0.990
2004-03-13,0.990
2004-03-14,0.990
2004-03-15,1.050
2004-03-16,0.990
2004-03-17,1.000
2004-03-18,1.000
2004-03-19,0.990
2004-03-20,0.990
2004-03-21,0.990
2004-03-22,1.010
2004-03-23,0.990
2004-03-24,0.990
2004-03-25,1.020
2004-03-26,1.000
2004-03-27,1.000
2004-03-28,1.000
2004-03-29,1.000
2004-03-30,0.980
2004-03-31,1.050
2004-04-01,1.030
2004-04-02,1.000
2004-04-03,1.000
2004-04-04,1.000
2004-04-05,1.010
2004-04-06,1.000
2004-04-07,1.000
2004-04-08,1.020
2004-04-09,1.010
2004-04-10,1.010
2004-04-11,1.010
2004-04-12,1.000
2004-04-13,1.000
2004-04-14,1.010
2004-04-15,1.030
2004-04-16,0.990
2004-04-17,0.990
2004-04-18,0.990
2004-04-19,1.000
2004-04-20,0.990
2004-04-21,0.990
2004-04-22,1.000
2004-04-23,0.990
2004-04-24,0.990
2004-04-25,0.990
2004-04-26,1.010
2004-04-27,0.990
2004-04-28,1.010
2004-04-29,1.030
2004-04-30,1.030
2004-05-01,1.030
2004-05-02,1.030
2004-05-03,1.030
2004-05-04,1.000
2004-05-05,0.990
2004-05-06,1.000
2004-05-07,0.990
2004-05-08,0.990
2004-05-09,0.990
2004-05-10,1.000
2004-05-11,0.960
